ID	Author	Alternative.Name	Origin	Title	Sigla	Universal.Incipit	Manuscript	Foliation	fol1	fol2	Scribe	Date	Date_alt	Note	Translator	Translation.From	Translation.To	Edition1	EditionLink1	Edition2	EditionLink2	Edition3	EditionLink3	Edition4	EditionLink4	Edition5	EditionLink5	Edition6	EditionLink6	Edition7	EditionLink7	Edition8	EditionLink8	Edition9	EditionLink9	Edition10	EditionLink10	Edition11	EditionLink11	Edition12	EditionLink12	Literature	Notes	Manuscript.Catalogue	Manuscript.Catalogue.Link	Manuscript.DigitalCopy	Manuscript.Facsimile	IIIF	IsExported	Manuscript.GPS	GRID	WikiData	GND	Author.Wikidata	Translator.Wikidata
13	Abhomadi Malfegeyr	Abu  ‘Abd Allah Muhammad ibn Mu'idh	2nd half of 11th cent.	Liber de crepusculis (Liber de crepusculis et nubium ascenscionibus)	1/A	Ostendere (Ostendam) quid sit crepusculum et que causa	*Paris, Bibliothèque nationale de France, MS Lat. 16648	96r-102r	96r	102r		16th cent.			Gerard de Cremona	AR	LAT	Pedro Nunes, De crepusculis liber unus ... Item Alllacen ... de causis crepuscolorum  liber unus ... (Lisbon, 1542)	https://www.google.cz/books/edition/Petri_Nonii_Salaciensis_De_crepusculis_l/WyuwAwnSIAMC?hl=pl&gbpv=1&dq=inauthor:%22Pedro+Nunes%22&printsec=frontcover	Albasen and Witelo, Opticae thesaurus (Basel, 1572), pp. 283-88	https://books.google.cz/books/about/Opticae_thesaurus.html?id=jjfhYgEACAAJ&redir_esc=y	Pedro Nunes, De arte atque, ratione navigandi Iibri duo ... Cum Iibello Allacen de causis crepuscolorum (Coimbra, 1573)		Pedro Nunes, Opera ... Cum libello Allacen de causis crepusculorum (Basel, 1590; facsimile reprint of 1542 ed. in G. Hellmann, Meteorologische Optik 1000-1636 (Neudrucke.. von Schriften und Karteni über Meteorologie und Erdmagnetismus, no 14 (Berlin, 1902, 87–104; reprint of 1573 ed. in Pedro Nunes, Obras, vol. 2 (Lisbon. 1945), 139–43.	https://www.google.cz/books/edition/Petri_Nonii_Salaciensis_Opera_quae_compl/siDgpUPdHGsC?hl=pl&gbpv=1&dq=inauthor:%22Pedro+Nunes%22&printsec=frontcover																	A. I . Sabra, "The Authorship of the Liber de crepusculis, an Eleventh-Century Work on At­mospheric Refraction”, Isis 58 (1967), 77–85; Annotations to the 1573 edition of the text by Joaquim de Carvalho, in Pedro Nunes, Obras, vol. 2 , Lisbon 1943, 365–375.	This work has frequently been attributed to Alhazen .	L. Delisle, Inventaire des manuscrits latins conservés à la Bibliothèque impériale sous les nos 15176-16718 du fonds latin, Paris 1870 (Nachdruck Hildesheim 1974), 72	https://www.digitale-sammlungen.de/en/view/bsb10800244?page=76,77		https://gallica.bnf.fr/ark:/12148/btv1b9066076z		FALSE					Q2987645	Q367240
40	Abhomadi Malfegeyr	Abu  ‘Abd Allah Muhammad ibn Mu'idh	2nd half of 11th cent.	Liber de crepusculis (Liber de crepusculis et nubium ascenscionibus)	1/A	Ostendere (Ostendam) quid sit crepusculum et que causa	Basel, Universitätsbibliothek, MS F. II. 33	110v-112r	110v	112r		14th cent.			Gerard de Cremona	AR	LAT	Pedro Nunes, De crepusculis liber unus ... Item Alllacen ... de causis crepuscolorum  liber unus ... (Lisbon, 1542)	https://www.google.cz/books/edition/Petri_Nonii_Salaciensis_De_crepusculis_l/WyuwAwnSIAMC?hl=pl&gbpv=1&dq=inauthor:%22Pedro+Nunes%22&printsec=frontcover	Albasen and Witelo, Opticae thesaurus (Basel, 1572), pp. 283-89	https://books.google.cz/books/about/Opticae_thesaurus.html?id=jjfhYgEACAAJ&redir_esc=y	Pedro Nunes, De arte atque, ratione navigandi Iibri duo ... Cum Iibello Allacen de causis crepuscolorum (Coimbra, 1573)		Pedro Nunes, Opera ... Cum libello Allacen de causis crepusculorum (Basel, 1590; facsimile reprint of 1542 ed. in G. Hellmann, Meteorologische Optik 1000-1636 (Neudrucke.. von Schriften und Karteni über Meteorologie und Erdmagnetismus, no 14 (Berlin, 1902, pp. 87-104; reprint of 1573 ed. in Pedro Nunes, Obras, vol. 2 (Lisbon. 1945), pp. 139-43.	https://www.google.cz/books/edition/Petri_Nonii_Salaciensis_Opera_quae_compl/siDgpUPdHGsC?hl=pl&gbpv=1&dq=inauthor:%22Pedro+Nunes%22&printsec=frontcover																	A. I . Sabra, "The Authorship of the Liber de crepusculis, an Eleventh-Century Work on At­mospheric Refraction”, Isis 58 (1967), 77–85; Annotations to the 1573 edition of the text by Joaquim de Carvalho, in Pedro Nunes, Obras, vol. 2, Lisbon 1943, 365–375.	This work has frequently been attributed to Alhazen .	M. Steinmann, Die Handschriften der Universitätsbibliothek Basel, Register zu den Abteilungen C I - C VI, D - F sowie zu weiteren mittelalterlichen Handschriften und Fragmenten, Basel 1998.		https://swisscollections.ch/Record/991170499956905501/Holdings?openHierarchy=true#tabnav			TRUE	47.559603, 7.580992	grid.6612.3	Q372608	36146-X	Q2987645	Q367240
90	Abhomadi Malfegeyr	Abu  ‘Abd Allah Muhammad ibn Mu'idh	2nd half of 11th cent.	Liber de crepusculis (Liber de crepusculis et nubium ascenscionibus)	1/A	Ostendere (Ostendam) quid sit crepusculum et que causa	Cambridge, Peterhouse College Library, MS 9 209	112r-114r	112r	114r		14th cent.			Gerard de Cremona	AR	LAT	Pedro Nunes, De crepusculis liber unus ... Item Alllacen ... de causis crepuscolorum  liber unus ... (Lisbon, 1542)	https://www.google.cz/books/edition/Petri_Nonii_Salaciensis_De_crepusculis_l/WyuwAwnSIAMC?hl=pl&gbpv=1&dq=inauthor:%22Pedro+Nunes%22&printsec=frontcover	Albasen and Witelo, Opticae thesaurus (Basel, 1572), pp. 283-90	https://books.google.cz/books/about/Opticae_thesaurus.html?id=jjfhYgEACAAJ&redir_esc=y	Pedro Nunes, De arte atque, ratione navigandi Iibri duo ... Cum Iibello Allacen de causis crepuscolorum (Coimbra, 1573)		Pedro Nunes, Opera ... Cum libello Allacen de causis crepusculorum (Basel, 1590; facsimile reprint of 1542 ed. in G. Hellmann, Meteorologische Optik 1000-1636 (Neudrucke.. von Schriften und Karteni über Meteorologie und Erdmagnetismus, no 14 (Berlin, 1902, pp. 87-104; reprint of 1573 ed. in Pedro Nunes, Obras, vol. 2 (Lisbon. 1945), pp. 139-43.	https://www.google.cz/books/edition/Petri_Nonii_Salaciensis_Opera_quae_compl/siDgpUPdHGsC?hl=pl&gbpv=1&dq=inauthor:%22Pedro+Nunes%22&printsec=frontcover																	A. I . Sabra, "The Authorship of the Liber de crepusculis, an Eleventh-Century Work on At­mospheric Refraction”, Isis 58 (1967), 77–85; Annotations to the 1573 edition of the text by Joaquim de Carvalho, in Pedro Nunes, Obras, vol. 2, Lisbon 1943, 365–375.	This work has frequently been attributed to Alhazen .	M. R. James, A Descriptive Catalogue of the Manuscripts in the Library of Peterhouse, Cambridge 1899, 251.	https://archive.org/details/adescriptivecat00clargoog/page/n286/mode/2up				TRUE		grid.5335.0	Q35794	7877-3	Q2987645	Q367240
99	Abhomadi Malfegeyr	Abu  ‘Abd Allah Muhammad ibn Mu'idh	2nd half of 11th cent.	Liber de crepusculis (Liber de crepusculis et nubium ascenscionibus)	1/A	Ostendere (Ostendam) quid sit crepusculum et que causa	Cambridge, University Library, MS II.I.13	77(68)v-79(70)v	77(68)v	79(70)v		14th cent.			Gerard de Cremona	AR	LAT	Pedro Nunes, De crepusculis liber unus ... Item Alllacen ... de causis crepuscolorum  liber unus ... (Lisbon, 1542)	https://www.google.cz/books/edition/Petri_Nonii_Salaciensis_De_crepusculis_l/WyuwAwnSIAMC?hl=pl&gbpv=1&dq=inauthor:%22Pedro+Nunes%22&printsec=frontcover	Albasen and Witelo, Opticae thesaurus (Basel, 1572), pp. 283-91	https://books.google.cz/books/about/Opticae_thesaurus.html?id=jjfhYgEACAAJ&redir_esc=y	Pedro Nunes, De arte atque, ratione navigandi Iibri duo ... Cum Iibello Allacen de causis crepuscolorum (Coimbra, 1573)		Pedro Nunes, Opera ... Cum libello Allacen de causis crepusculorum (Basel, 1590; facsimile reprint of 1542 ed. in G. Hellmann, Meteorologische Optik 1000-1636 (Neudrucke.. von Schriften und Karteni über Meteorologie und Erdmagnetismus, no 14 (Berlin, 1902, pp. 87-104; reprint of 1573 ed. in Pedro Nunes, Obras, vol. 2 (Lisbon. 1945), pp. 139-43.	https://www.google.cz/books/edition/Petri_Nonii_Salaciensis_Opera_quae_compl/siDgpUPdHGsC?hl=pl&gbpv=1&dq=inauthor:%22Pedro+Nunes%22&printsec=frontcover																	A. I . Sabra, "The Authorship of the Liber de crepusculis, an Eleventh-Century Work on At­mospheric Refraction”, Isis 58 (1967), 77–85; Annotations to the 1573 edition of the text by Joaquim de Carvalho, in Pedro Nunes, Obras, vol. 2, Lisbon 1943, 365–75.	This work has frequently been attributed to Alhazen .	P. Binski and P. Zutshi, with collaboration of Stella Panayotova, Western Illuminated Manuscripts. A Catalogue of the Collection in Cambridge University Library, Cambridge 2011.		https://ptolemaeus.badw.de/jordanus/ms/6158			TRUE		grid.5335.0	Q35794	7877-3	Q2987645	Q367240
150	Abhomadi Malfegeyr	Abu  ‘Abd Allah Muhammad ibn Mu'idh	2nd half of 11th cent.	Liber de crepusculis (Liber de crepusculis et nubium ascenscionibus)	1/A	Ostendere (Ostendam) quid sit crepusculum et que causa	Edinburgh, Royal Observatory, MS 9-1 1-3 (20)	186r-189r	186r	189r		1269			Gerard de Cremona	AR	LAT	Pedro Nunes, De crepusculis liber unus ... Item Alllacen ... de causis crepuscolorum  liber unus ... (Lisbon, 1542)	https://www.google.cz/books/edition/Petri_Nonii_Salaciensis_De_crepusculis_l/WyuwAwnSIAMC?hl=pl&gbpv=1&dq=inauthor:%22Pedro+Nunes%22&printsec=frontcover	Albasen and Witelo, Opticae thesaurus (Basel, 1572), pp. 283-93	https://books.google.cz/books/about/Opticae_thesaurus.html?id=jjfhYgEACAAJ&redir_esc=y	Pedro Nunes, De arte atque, ratione navigandi Iibri duo ... Cum Iibello Allacen de causis crepuscolorum (Coimbra, 1573)		Pedro Nunes, Opera ... Cum libello Allacen de causis crepusculorum (Basel, 1590; facsimile reprint of 1542 ed. in G. Hellmann, Meteorologische Optik 1000-1636 (Neudrucke.. von Schriften und Karteni über Meteorologie und Erdmagnetismus, no 14 (Berlin, 1902, pp. 87-104; reprint of 1573 ed. in Pedro Nunes, Obras, vol. 2 (Lisbon. 1945), pp. 139-43.	https://www.google.cz/books/edition/Petri_Nonii_Salaciensis_Opera_quae_compl/siDgpUPdHGsC?hl=pl&gbpv=1&dq=inauthor:%22Pedro+Nunes%22&printsec=frontcover																	A. I . Sabra, "The Authorship of the Liber de crepusculis, an Eleventh-Century Work on At­mospheric Refraction,” Isis 58 (1967), 77–85; Annotations to the 1573 edition of the text by Joaquim de Carvalho, in Pedro Nunes, Obras, vol. 2, Lisbon 1943, 365–375.	This work has frequently been attributed to Alhazen .	Catalogue of the Crawford Library of the Royal Observatory, Edinburgh, 486	https://digital.nls.uk/bibliotheca-lindesiana-catalogues/archive/105642548				TRUE	55.923192, -3.187878         	grid.440355.3	Q3106882	none	Q2987645	Q367240
202	Abhomadi Malfegeyr	Abu  ‘Abd Allah Muhammad ibn Mu'idh	2nd half of 11th cent.	Liber de crepusculis (Liber de crepusculis et nubium ascenscionibus)	1/A	Ostendere (Ostendam) quid sit crepusculum et que causa	Escorial, Real Biblioteca del Monasterio de San Lorenzo, MS N.II.26	30r-32v	30r	32v		16th cent.			Gerard de Cremona	AR	LAT	Pedro Nunes, De crepusculis liber unus ... Item Alllacen ... de causis crepuscolorum  liber unus ... (Lisbon, 1542)	https://www.google.cz/books/edition/Petri_Nonii_Salaciensis_De_crepusculis_l/WyuwAwnSIAMC?hl=pl&gbpv=1&dq=inauthor:%22Pedro+Nunes%22&printsec=frontcover	Albasen and Witelo, Opticae thesaurus (Basel, 1572), pp. 283-94	https://books.google.cz/books/about/Opticae_thesaurus.html?id=jjfhYgEACAAJ&redir_esc=y	Pedro Nunes, De arte atque, ratione navigandi Iibri duo ... Cum Iibello Allacen de causis crepuscolorum (Coimbra, 1573)		Pedro Nunes, Opera ... Cum libello Allacen de causis crepusculorum (Basel, 1590; facsimile reprint of 1542 ed. in G. Hellmann, Meteorologische Optik 1000-1636 (Neudrucke.. von Schriften und Karteni über Meteorologie und Erdmagnetismus, no 14 (Berlin, 1902, pp. 87-104; reprint of 1573 ed. in Pedro Nunes, Obras, vol. 2 (Lisbon. 1945), pp. 139-43.	https://www.google.cz/books/edition/Petri_Nonii_Salaciensis_Opera_quae_compl/siDgpUPdHGsC?hl=pl&gbpv=1&dq=inauthor:%22Pedro+Nunes%22&printsec=frontcover																	A. I . Sabra, "The Authorship of the Liber de crepusculis, an Eleventh-Century Work on At­mospheric Refraction”, Isis 58 (1967), 77–85; Annotations to the 1573 edition of the text by Joaquim de Carvalho, in Pedro Nunes, Obras, vol. 2, Lisbon 1943, 365–375.	This work has frequently been attributed to Alhazen .	Antolín, Guillermo, Catálogo de los códices latinos de la Real biblioteca del Escorial, Vol. 3, 1910, 146	https://archive.org/details/catlogodelosc03escouoft/page/146/mode/2up	https://rbmecat.patrimonionacional.es/cgi-bin/koha/opac-detail.pl?biblionumber=1552			TRUE	40.589167, -4.147778	none	Q28471	1007050-3	Q2987645	Q367240
266	Abhomadi Malfegeyr	Abu  ‘Abd Allah Muhammad ibn Mu'idh	2nd half of 11th cent.	Liber de crepusculis (Liber de crepusculis et nubium ascenscionibus)	1/A	Ostendere autem volo quid sit crepusculum et que causa	Firenze, Biblioteca Riccardiana, MS 885	124r-131v	124r	131v		14th cent.			Gerard de Cremona	AR	LAT	Pedro Nunes, De crepusculis liber unus ... Item Alllacen ... de causis crepuscolorum  liber unus ... (Lisbon, 1542)	https://www.google.cz/books/edition/Petri_Nonii_Salaciensis_De_crepusculis_l/WyuwAwnSIAMC?hl=pl&gbpv=1&dq=inauthor:%22Pedro+Nunes%22&printsec=frontcover	Albasen and Witelo, Opticae thesaurus (Basel, 1572), pp. 283-95	https://books.google.cz/books/about/Opticae_thesaurus.html?id=jjfhYgEACAAJ&redir_esc=y	Pedro Nunes, De arte atque, ratione navigandi Iibri duo ... Cum Iibello Allacen de causis crepuscolorum (Coimbra, 1573)		Pedro Nunes, Opera ... Cum libello Allacen de causis crepusculorum (Basel, 1590; facsimile reprint of 1542 ed. in G. Hellmann, Meteorologische Optik 1000-1636 (Neudrucke.. von Schriften und Karteni über Meteorologie und Erdmagnetismus, no 14 (Berlin, 1902, pp. 87-104; reprint of 1573 ed. in Pedro Nunes, Obras, vol. 2 (Lisbon. 1945), pp. 139-43.	https://www.google.cz/books/edition/Petri_Nonii_Salaciensis_Opera_quae_compl/siDgpUPdHGsC?hl=pl&gbpv=1&dq=inauthor:%22Pedro+Nunes%22&printsec=frontcover																	A. I . Sabra, "The Authorship of the Liber de crepusculis, an Eleventh-Century Work on At­mospheric Refraction”, Isis 58 (1967), 77–85; Annotations to the 1573 edition of the text by Joaquim de Carvalho, in Pedro Nunes, Obras, vol. 2, Lisbon 1943, 365–375.	This work has frequently been attributed to Alhazen .						TRUE	43.775548, 11.255369	none	Q856409	none	Q2987645	Q367240
126	Abhomadi Malfegeyr	Abu  ‘Abd Allah Muhammad ibn Mu'idh	2nd half of 11th cent.	Liber de crepusculis (Liber de crepusculis et nubium ascenscionibus)	1/A	Ostendere (Ostendam) quid sit crepusculum et que causa	Kraków, Biblioteka Jagiellonska, MS 569	47r-48v	47r	48v		14th cent.			Gerard de Cremona	AR	LAT	Pedro Nunes, De crepusculis liber unus ... Item Alllacen ... de causis crepuscolorum  liber unus ... (Lisbon, 1542)	https://www.google.cz/books/edition/Petri_Nonii_Salaciensis_De_crepusculis_l/WyuwAwnSIAMC?hl=pl&gbpv=1&dq=inauthor:%22Pedro+Nunes%22&printsec=frontcover	Albasen and Witelo, Opticae thesaurus (Basel, 1572), pp. 283-92	https://books.google.cz/books/about/Opticae_thesaurus.html?id=jjfhYgEACAAJ&redir_esc=y	Pedro Nunes, De arte atque, ratione navigandi Iibri duo ... Cum Iibello Allacen de causis crepuscolorum (Coimbra, 1573)		Pedro Nunes, Opera ... Cum libello Allacen de causis crepusculorum (Basel, 1590; facsimile reprint of 1542 ed. in G. Hellmann, Meteorologische Optik 1000-1636 (Neudrucke.. von Schriften und Karteni über Meteorologie und Erdmagnetismus, no 14 (Berlin, 1902, pp. 87-104; reprint of 1573 ed. in Pedro Nunes, Obras, vol. 2 (Lisbon. 1945), pp. 139-43.	https://www.google.cz/books/edition/Petri_Nonii_Salaciensis_Opera_quae_compl/siDgpUPdHGsC?hl=pl&gbpv=1&dq=inauthor:%22Pedro+Nunes%22&printsec=frontcover																	A. I . Sabra, "The Authorship of the Liber de crepusculis, an Eleventh-Century Work on At­mospheric Refraction,” Isis 58 (1967), 77–85; Annotations to the 1573 edition of the text by Joaquim de Carvalho, in Pedro Nunes, Obras, vol. 2, Lisbon 1943, 365–375.	This work has frequently been attributed to Alhazen .	W. Wisłocki, Katalog rękopisów Biblijoteki Uniwersytetu Jagiellońskiego, Vol. I, Kraków 1881, 178.	https://jbc.bj.uj.edu.pl/dlibra/publication/297832/edition/285039/content	https://manuscripta.pl/manuscripts/42940/	https://jbc.bj.uj.edu.pl/dlibra/publication/311224/edition/297913/content		TRUE	50.061486, 19.923135	grid.5522.0	Q24101	4073761-5	Q2987645	Q367240
303	Abhomadi Malfegeyr	Abu  ‘Abd Allah Muhammad ibn Mu'idh	2nd half of 11th cent.	Liber de crepusculis (Liber de crepusculis et nubium ascenscionibus)	1/A	Ostendere (Ostendam) quid sit crepusculum et que causa	London, British Museum MS Royal 12. G. VII	102v-104v	102v	104v		14th cent.			Gerard de Cremona	AR	LAT	Pedro Nunes, De crepusculis liber unus ... Item Alllacen ... de causis crepuscolorum  liber unus ... (Lisbon, 1542)	https://www.google.cz/books/edition/Petri_Nonii_Salaciensis_De_crepusculis_l/WyuwAwnSIAMC?hl=pl&gbpv=1&dq=inauthor:%22Pedro+Nunes%22&printsec=frontcover	Albasen and Witelo, Opticae thesaurus (Basel, 1572), pp. 283-96	https://books.google.cz/books/about/Opticae_thesaurus.html?id=jjfhYgEACAAJ&redir_esc=y	Pedro Nunes, De arte atque, ratione navigandi Iibri duo ... Cum Iibello Allacen de causis crepuscolorum (Coimbra, 1573)		Pedro Nunes, Opera ... Cum libello Allacen de causis crepusculorum (Basel, 1590; facsimile reprint of 1542 ed. in G. Hellmann, Meteorologische Optik 1000-1636 (Neudrucke.. von Schriften und Karteni über Meteorologie und Erdmagnetismus, no 14 (Berlin, 1902, pp. 87-104; reprint of 1573 ed. in Pedro Nunes, Obras, vol. 2 (Lisbon. 1945), pp. 139-43.	https://www.google.cz/books/edition/Petri_Nonii_Salaciensis_Opera_quae_compl/siDgpUPdHGsC?hl=pl&gbpv=1&dq=inauthor:%22Pedro+Nunes%22&printsec=frontcover																	A. I . Sabra, "The Authorship of the Liber de crepusculis, an Eleventh-Century Work on At­mospheric Refraction”, Isis 58 (1967), 77–85; Annotations to the 1573 edition of the text by Joaquim de Carvalho, in Pedro Nunes, Obras, vol. 2, Lisbon 1943, 365–375.	This work has frequently been attributed to Alhazen .	Werner – Gilson (1921), Catalogue of Western Manuscripts in the Old Royal and King's Collection, vol. II, 72.	https://archive.org/details/BMCatalogueOfWesternMssRoyal2/page/n87/mode/1up?view=theater				TRUE	51.519444, -0.126944	grid.29109.33	Q6373	38379-X	Q2987645	Q367240
458	Abhomadi Malfegeyr	Abu  ‘Abd Allah Muhammad ibn Mu'idh	2nd half of 11th cent.	Liber de crepusculis (Liber de crepusculis et nubium ascenscionibus)	1/A	Ostendere autem volo quid sit crepusculum et que causa	Oxford, Bodleian Library, MS Ashmole 341	76r-81r	76r	81r		13th cent.			Gerard de Cremona	AR	LAT	Pedro Nunes, De crepusculis liber unus ... Item Alllacen ... de causis crepuscolorum  liber unus ... (Lisbon, 1542)	https://www.google.cz/books/edition/Petri_Nonii_Salaciensis_De_crepusculis_l/WyuwAwnSIAMC?hl=pl&gbpv=1&dq=inauthor:%22Pedro+Nunes%22&printsec=frontcover	Albasen and Witelo, Opticae thesaurus (Basel, 1572), pp. 283-97	https://books.google.cz/books/about/Opticae_thesaurus.html?id=jjfhYgEACAAJ&redir_esc=y	Pedro Nunes, De arte atque, ratione navigandi Iibri duo ... Cum Iibello Allacen de causis crepuscolorum (Coimbra, 1573)		Pedro Nunes, Opera ... Cum libello Allacen de causis crepusculorum (Basel, 1590; facsimile reprint of 1542 ed. in G. Hellmann, Meteorologische Optik 1000-1636 (Neudrucke.. von Schriften und Karteni über Meteorologie und Erdmagnetismus, no 14 (Berlin, 1902, pp. 87-104; reprint of 1573 ed. in Pedro Nunes, Obras, vol. 2 (Lisbon. 1945), pp. 139-43.	https://www.google.cz/books/edition/Petri_Nonii_Salaciensis_Opera_quae_compl/siDgpUPdHGsC?hl=pl&gbpv=1&dq=inauthor:%22Pedro+Nunes%22&printsec=frontcover																	A. I . Sabra, "The Authorship of the Liber de crepusculis, an Eleventh-Century Work on At­mospheric Refraction”, Isis 58 (1967), 77–85; Annotations to the 1573 edition of the text by Joaquim de Carvalho, in Pedro Nunes, Obras, vol. 2, Lisbon 1943, 365–375.	This work has frequently been attributed to Alhazen .	A catalogue of Western manuscripts at the Bodleian Libraries and selected Oxford colleges	https://medieval.bodleian.ox.ac.uk/?f[ms_collection_s][]=MSS.+Ashmole&f[type][]=manuscript&per_page=200	https://medieval.bodleian.ox.ac.uk/catalog/manuscript_324			TRUE	51.753972, -1.255139	none	Q82133	38352-1	Q2987645	Q367240
